,"clean","cnt","proprietary","hiding"
0,"""9003-05-8",2,,
1,"""n/a""",30,,1
2,"9003-04-7",3,,
3,"(1338-43-8#)",1,,
4,"(14808-60-7#)",1,,
5,"(64742-47-8#)",1,,
6,"(67-48-1#)",1,,
7,"(7647-14-5#)",1,,
8,"(7727-54-0#)",1,,
9,"(7732-18-5#)",2,,
10,"(78330-21-9#)",1,,
11,"(83446-68-8#)",1,,
12,"(9005-65-6#)",1,,
13,"(n/a#)",5,,1
14,"*3rd party additive",13,,1
15,"*supplied by oper",13,,1
16,-0,417,,1
17,"/>",1,,1
18,0,836,,1
19,"0-0-0",1,,1
20,"0-00-0",7,,1
21,0.15,1,,1
22,"00-00-0",3284,,1
23,"00-00-00",99,,1
24,"00-00-1",10,,1
25,"000-00-0",279,,1
26,"000-111-422",1,,1
27,0,10,,1
28,"0000-00-0",542,,1
29,0,13,,1
30,"00000-00-0",45,,1
31,0,1,,1
32,"0000050-00-0",346,,
33,"0000062-56-6",350,,
34,"0000067-48-1",46,,
35,"0000067-56-1",344,,
36,"0000111-76-2",1,,
37,"0000112-34-5",297,,
38,"000050-00-0",58,,
39,"000056-81-5",87,,
40,"000057-55-6",36,,
41,"000060-24-2",179,,
42,"000064-02-8",1428,,
43,"000064-17-5",951,,
44,"000064-18-6",1078,,
45,"000064-19-7",929,,
46,"000065-85-0",12,,
47,"000067-30-0",1,,
48,"000067-48-1",661,,
49,"000067-56-1",5262,,
50,"000067-63-0",2791,,
51,"000068-12-2",975,,
52,"000071-23-8",3,,
53,"000071-48-7",1,,
54,"000075-07-0",2,,
55,"000075-12-7",12,,
56,"000075-57-0",2,,
57,"000075-91-2",169,,
58,"000077-92-9",1884,,
59,"000078-40-0",120,,
60,"000079-06-1",708,,
61,"000079-21-0",22,,
62,"000085-44-9",1,,
63,"000088-99-3",1,,
64,"000089-65-6",2,,
65,"000091-20-3",23,,
66,"000095-63-6",14,,
67,"000100-44-7",60,,
68,"000100-97-0",124,,
69,"000102-71-6",2,,
70,"000104-40-5",2,,
71,"000104-55-2",150,,
72,"000104-76-7",464,,
73,"000107-19-7",1165,,
74,"000107-21-1",1677,,
75,"000108-01-0",48,,
76,"000108-24-7",163,,
77,"000108-32-7",104,,
78,"000109-55-7",48,,
79,"000110-54-3",1,,
80,"000111-30-8",1737,,
81,"000111-40-0",4,,
82,"000111-42-2",478,,
83,"000111-46-6",774,,
84,"000111-76-2",1036,,
85,"000111-77-3",1,,
86,"000111-87-5",63,,
87,"000112-30-1",63,,
88,"000112-40-3",56,,
89,"000112-80-1",195,,
90,"000122-18-9",1,,
91,"000122-20-3",1,,
92,"000124-04-9",7,,
93,"000124-18-5",1,,
94,"000127-08-2",1,,
95,"000127-09-3",3,,
96,"0001302-78-9",1,,
97,"000139-07-1",1,,
98,"000139-08-2",157,,
99,"000141-43-5",40,,
100,"000141-53-7",24,,
101,"000143-18-0",196,,
102,"000144-55-8",3,,
103,"000151-21-3",1,,
104,"000497-19-8",15,,
105,"000533-74-4",57,,
106,"000540-72-7",1,,
107,"000544-76-3",1,,
108,"000577-11-7",1,,
109,"000584-08-7",556,,
110,"000590-29-4",408,,
111,"000629-50-5",56,,
112,"000629-59-4",55,,
113,"000631-61-8",248,,
114,"00064-17-5",3,,
115,"00067-56-1",8,,
116,"00067-63-0",6,,
117,"00107-21-1",1,,
118,"00111-30-8",4,,
119,"001120-21-4",69,,
120,"001302-74-5",3,,
121,"001302-78-9",5,,
122,"001302-93-8",39,,
123,"001303-96-4",249,,
124,"001305-62-0",59,,
125,"001305-79-9",59,,
126,"001309-42-8",53,,
127,"001309-48-4",53,,
128,"001310-58-3",1147,,
129,"001310-73-2",3034,,
130,"001319-33-1",360,,
131,"001330-43-4",285,,
132,"001332-77-0",101,,
133,"001336-21-6",45,,
134,"001338-43-8",387,,
135,"001431-49-7",1,,
136,"0014808-60-7",1,,
137,"002002-24-6",30,,
138,"002687-96-9",29,,
139,"002836-32-0",426,,
140,"005064-31-3",411,,
141,"005329-14-6",7,,
142,"00533-74-4",1,,
143,"005470-11-1",24,,
144,"005949-29-1",4,,
145,"005989-27-5",4,,
146,"006381-77-7",1586,,
147,"0064-19-7",1,,
148,"006419-19-8",6,,
149,"006474-88-7",1,,
150,"0067-56-1",1,,
151,"0068002-97-1",342,,
152,"007-632-044",3,,
153,"007173-51-5",457,,
154,"007447-39-4",35,,
155,"007447-40-7",651,,
156,"007601-54-9",35,,
157,"007631-86-9",74,,
158,"007631-90-5",10,,
159,"007632-05-5",2,,
160,"007647-01-0",4520,,
161,"007647-14-5",2493,,
162,"007664-38-2",1095,,
163,"007664-39-3",1,,
164,"007664-41-7",90,,
165,"007681-11-0",63,,
166,"007681-52-9",144,,
167,"007681-82-5",195,,
168,"0077-92-9",2,,
169,"007722-84-1",23,,
170,"007727-21-1",14,,
171,"007727-37-9",4,,
172,"007727-54-0",2559,,
173,"007732-18-5",15092,,
174,"007757-82-6",628,,
175,"007757-83-7",40,,
176,"007758-19-2",221,,
177,"007758-98-7",255,,
178,"007772-98-7",12,,
179,"007775-27-1",58,,
180,"007775-54-0",5,,
181,"007783-20-2",44,,
182,"007789-38-0",239,,
183,"008002-09-3",9,,
184,"008007-43-0",169,,
185,"008042-47-5",109,,
186,"009000-30-0",2263,,
187,"009002-84-0",1,,
188,"009002-93-1",2,,
189,"009003-04-7",336,,
190,"009003-05-8",2,,
191,"009003-06-9",10,,
192,"009003-11-6",1,,
193,"009003-35-4",123,,
194,"009004-67-5",2,,
195,"009004-77-7",1,,
196,"009004-96-0",55,,
197,"009005-65-6",5,,
198,"009014-93-1",9,,
199,"009016-45-9",137,,
200,"009025-56-3",34,,
201,"009043-30-5",14,,
202,"01-012-5130",1,,
203,"01-0125-130",40,,
204,"01-01251-30",1,,
205,"01-09-9046",1,,
206,"010025-69-1",9,,
207,"010028-22-5",1,,
208,"010043-35-3",502,,
209,"010043-52-4",245,,
210,"010049-04-4",1937,,
211,10101,1,,1
212,"010125-13-0",179,,
213,10125130,3,,
214,"010192-30-0",336,,
215,"010222-01-2",36,,
216,"010486-00-7",79,,
217,"010555-76-7",332,,
218,"010604-69-0",1,,
219,"0107-21-1",5,,
220,"0111-30-8",1,,
221,"011138-66-2",1,,
222,"012045-78-2",38,,
223,"012125-02-9",403,,
224,"012174-11-7",622,,
225,"012179-04-3",3,,
226,"0127087-87-0",4,,
227,"01310-73-2",9,,
228,"013598-36-2",398,,
229,"013709-94-9",62,,
230,"014452-57-4",53,,
231,"014464-46-1",36,,
232,"014807-96-6",12,,
233,"014808-60-7",7002,,
234,"015220-87-8",63,,
235,"015619-48-4",117,,
236,"016481-66-6",19,,
237,"017593-73-6",24,,
238,"018662-53-8",205,,
239,"025038-72-6",1,,
240,"025085-02-3",15,,
241,"025322-68-3",37,,
242,"025322-69-4",2,,
243,"025987-30-8",209,,
244,"025987-66-0",1,,
245,"026027-38-3",9,,
246,"026038-87-9",36,,
247,"026100-47-0",55,,
248,"026266-58-0",103,,
249,"026635-93-8",199,,
250,"026836-07-7",12,,
251,"027176-87-0",225,,
252,"029638-69-5",35,,
253,"031726-34-8",4,,
254,"034590-94-8",5,,
255,"034690-00-1",15,,
256,"035585-58-1",8,,
257,"038193-60-1",363,,
258,"039346-76-4",32,,
259,"040623-75-4",2,,
260,"05/08/9003",36,,
261,"051838-31-4",1,,
262,"05329-14-6",1,,
263,"055566-30-8",14,,
264,"061723-83-9",55,,
265,"061789-77-3",1,,
266,"061790-12-3",241,,
267,"061790-69-0",1,,
268,"061791-14-8",2,,
269,"062649-23-4",3,,
270,"063148-62-9",2,,
271,"06474-88-7",27,,
272,"064741-44-2",1,,
273,"064741-85-1",78,,
274,"064742-47-8",4837,,
275,"064742-48-9",5,,
276,"064742-94-5",27,,
277,"064742-96-7",183,,
278,"064743-02-8",230,,
279,"065322-65-8",6,,
280,"066402-68-4",1,,
281,"066455-15-0",1,,
282,"068002-97-1",275,,
283,"068123-18-2",1,,
284,"068130-15-4",7,,
285,"068131-40-8",2,,
286,"068155-20-4",2,,
287,"068391-01-5",2,,
288,"068412-54-4",120,,
289,"068424-85-1",732,,
290,"068425-67-2",10,,
291,"068439-46-3",385,,
292,"068439-50-9",275,,
293,"068439-51-0",370,,
294,"068513-65-5",1,,
295,"068527-49-1",754,,
296,"068551-12-2",553,,
297,"068584-22-5",1,,
298,"068585-36-4",2,,
299,"068593-58-2",14,,
300,"068603-42-9",47,,
301,"068603-67-8",2,,
302,"068607-28-3",8,,
303,"068715-83-3",1,,
304,"068909-34-2",1,,
305,"068909-77-3",48,,
306,"068951-67-7",243,,
307,"068953-58-2",105,,
308,"068966-36-9",7,,
309,"068990-47-6",24,,
310,"069418-26-4",61,,
311,"070750-07-1",1,,
312,"071011-25-1",57,,
313,"071050-62-9",209,,
314,"071377-02-1",5,,
315,"072480-70-7",120,,
316,"07647-01-0",4,,
317,"07757-82-6",1,,
318,"078330-21-9",74,,
319,"08013-01-2",236,,
320,"08042-47-5",2,,
321,"081741-28-8",2,,
322,"084133-50-6",55,,
323,"09/03/8002",1,,
324,"09000-30-0",1,,
325,"09003-05-8",95,,
326,"09003-06-9",2,,
327,"09003-11-6",2,,
328,"091053-39-3",256,,
329,1,2,,1
330,"1, 112-40-3,",1,,
331,"1-7-21-1",1,,
332,"1/0/1900",2,,1
333,"1/1/9014",10,,
334,10,1,,1
335,"10/-10-1",1,,1
336,100,7,,1
337,"100-41-4",1994,,
338,"100-44-7",3312,,
339,"100-52-7",17,,
340,"100-79-8",225,,
341,"100-87-0",6,,
342,"100-94-0",5,,
343,"100-97-0",11427,,
344,"100-97-1",11,,
345,"100-97-10",2,,
346,"100-970",1,,
347,"10000-01-2",9,,
348,100064251,2,,
349,"10025-69-1",48,,
350,"10025-91-9",93,,
351,"10028-15-6",142,,
352,"10028-22-5",34,,
353,"10035-04-8",2,,
354,"10039-54-0",1,,
355,"10039-56-2",1,,
356,"10043-35-3",6084,,
357,"10043-35-31",1,,
358,"10043-365-3",1,,
359,"10043-52-4",9912,,
360,"10043-86-2",1,,
361,"1004542-84-0",851,,
362,"10049-04-04",2,,
363,"10049-04-4",5062,,
364,"10049-49-4",1,,
365,"100545-50-4",140,,
366,"10069-04-4",791,,
367,"10069.04-4",1,,
368,"100765-57-9",136,,
369,"1009-04-4",1,,
370,"1009-07-0",3,,
371,"1009-7-0",136,,
372,"101-25-13-0",1,,
373,"101-68-8",9,,
374,"101-77-9",1,,
375,"10102-17-7",168,,
376,"10102-40-6",97,,
377,"101033-44-7",1061,,
378,"10124-31-9",52,,
379,"10124-37-5",395,,
380,"10125-13-0",4153,,
381,"10125-13-01",1,,
382,10125130,176,,
383,101271196,10,,
384,"10192-30-0",379,,
385,"10192-30-2",1,,
386,"1019230-0",1,,
387,"102-71-",1,,
388,"102-71-6",3748,,
389,"102-76-1",31,,
390,"102-81-8",5,,
391,"1022-01-2",1,,
392,"10222-01-02",1,,
393,"10222-01-2",16173,,
394,"10222-01-2 ?",1,,
395,"10222-010-2",2,,
396,"1022201-2",1,,
397,"102222-01-2",1,,
398,10226660,4,,
399,102266610,1,,
400,"10244-99-2",1,,
401,"10294-56-1",168,,
402,"103-32-7",1,,
403,"10326-27-9",44,,
404,"10326-41-7",31,,
405,"10332-33-9",15,,
406,"10361-65-6",147,,
407,"10377-60-3",2423,,
408,"10378-23-1",3,,
409,"104-19-7",1,,
410,"104-40-5",666,,
411,"104-55-0",2,,
412,"104-55-2",18057,,
413,"104-76-7",7165,,
414,"104-767",1,,
415,"1043-52-4",1,,
416,"10476-85-4",146,,
417,"104780-82-7",16,,
418,"10486-00-7",13470,,
419,"10486-007",2,,
420,"1049-04-4",6,,
421,"10543-57-4",1,,
422,"10555-76-7",1151,,
423,"106-22-9",53,,
424,"106-24-1",53,,
425,"106-25-2",53,,
426,"106-65-0",9,,
427,"106-89-8",265,,
428,"106-97-8",19,,
429,"10604-64-0",1,,
430,"10604-69-0",7907,,
431,"10604-690",1,,
432,"1067-12-5",15,,
433,"107-02-8",1,,
434,"107-1-7",1,,
435,"107-12-1",1,,
436,"107-13-1",193,,
437,"107-15-3",187,,
438,"107-17-7",1,,
439,"107-19-1",46,,
440,"107-19-7",39141,,
441,"107-21",1,,
442,"107-21-1",67422,,
443,"107-21-10",1,,
444,"107-21-11",4,,
445,"107-21-150",2,,
446,"107-21-2",4,,
447,"107-21-7",2,,
448,"107-22-2",125,,
449,"107-41-5",193,,
450,"107-64-2",162,,
451,"107-89-1",21,,
452,"107-98-2",326,,
453,"107.21-1",1,,
454,"10721-1",1,,
455,107211,3,,
456,"1078-19-7",1,,
457,"107950-89-0",140,,
458,"108-05-4",9,,
459,"108-09-8",570,,
460,"108-10-1",1663,,
461,"108-11-2",1,,
462,"108-19-0",8,,
463,"108-19-7",1,,
464,"108-20-3",422,,
465,"108-24-7",7920,,
466,"108-31-6",1,,
467,"108-32-7",4737,,
468,"108-38-3",19,,
469,"108-67-8",896,,
470,"108-83-8",12,,
471,"108-88-3",763,,
472,"108-95-2",517,,
473,"108388-79-0",16,,
474,"108797-84-8",2,,
475,"108797-85-9",39,,
476,"108818-88-8",148,,
477,"109-46-6",2,,
478,"109-55-7",129,,
479,"109-66-0",24,,
480,"11-14-22",1,,
481,"11-30-8",8,,
482,"11-40-0",2,,
483,"11-46-6",3,,
484,"11-76-2",22,,
485,"11-9-2610",91,,
486,"11/1/5470",183,,
487,"11/6/9003",3,,
488,"11/9/2610",3,,
489,"110-17-8",2244,,
490,"110-30-5",415,,
491,"110-30-8",3,,
492,"110-44-1",54,,
493,"110-54-3",32,,
494,"110-58-3",1,,
495,"110-80-5",4,,
496,"110-82-7",1,,
497,"110-91-8",6,,
498,"110224-99-2",598,,
499,"11097-59-9",2,,
500,"111-05-7",12,,
501,"111-30",1,,
502,"111-30-08",4,,
503,"111-30-1",1,,
504,"111-30-5",3,,
505,"111-30-8",37005,,
506,"111-30-80",2,,
507,"111-30-830",1,,
508,"111-3866-2",1,,
509,"111-40-0",1637,,
510,"111-42-2",11215,,
511,"111-42-20",84,,
512,"111-44-4",5,,
513,"111-46-6",6855,,
514,"111-6-2",1,,
515,"111-65-9",2,,
516,"111-66-0",4,,
517,"111-7-2",1,,
518,"111-76-2",33763,,
519,"111-77-3",23,,
520,"111-84-2",2,,
521,"111-87-5",6433,,
522,"111-87-8",1,,
523,"11113-55-9",1,,
524,"1112-40-3",1,,
525,"1113-55-9",1482,,
526,111308,2,,
527,"11138--66-2",1,,
528,"11138-66-2",4232,,
529,"11138-662",1,,
530,"1113866-2",122,,
531,111422,8,,
532,"111560-38-4",726,,
533,"1119-40-0",9,,
534,"112-03-8",3,,
535,"112-15-2",139,,
536,"112-24-3",37,,
537,"112-27-6",2739,,
538,"112-30-1",6368,,
539,"112-34-5",1495,,
540,"112-40-3",969,,
541,"112-41-4",107,,
542,"112-42-5",44,,
543,"112-53-8",1188,,
544,"112-57-2",38,,
545,"112-80-1",2354,,
546,"112-88-9",1732,,
547,"1120-21-",1,,
548,"1120-21-4",2295,,
549,"1120-21-4, 112-40-3",10,,
550,"1120-21-4, 112-40-3,",2,,
551,"1120-21-4,112-40-3",5,,
552,"1120-24-7",77,,
553,"1120-36-1",40,,
554,"1120-40-3",34,,
555,"112926-00-8",8754,,
556,"112926-60-7",1,,
557,"112945-52-5",271,,
558,"1130-20-7",1,,
559,"1130-43-4",16,,
560,"113184-20-6",102,,
561,"1132-18-5",45,,
562,"113221-69-5",15,,
563,"113669-97-9",3,,
564,"115-07-1",12,,
565,"1158-19-2",1,,
566,"1159170-26-9",2,,
567,"1160525-87-0",1,,
568,"117-81-7",46,,
569,"1184-78-7",408,,
570,"1185-57-5",17,,
571,"119-36-8",309,,
572,"119-65-3",474,,
573,"119345-03-8",508,,
574,"119345-03-810",1,,
575,"119345-04-9",649,,
576,"119616-38-5",147,,
577,"120-40-1",2,,
578,"12001-26-2",2,,
579,"12008-41-2",20,,
580,"1201-31-5",1,,
581,"12030-49-8",1,,
582,"120313-48-6",1632,,
583,"12045-78-2",320,,
584,"12060-08-1",1,,
585,"12068-08-5",5,,
586,"121-43-7",1153,,
587,"1212-5-02-9",1,,
588,"12125-01-8",268,,
589,"12125-02-",1,,
590,"12125-02-09",9,,
591,"12125-02-10",5,,
592,"12125-02-9",39798,,
593,"12125-09-9",23,,
594,"12125-18-5",33,,
595,"12125-8",1,,
596,12125029,1,,
597,"121285-02-9",3,,
598,"12134-66-6",7,,
599,"12136-45-7",278,,
600,"1215-02-9",2,,
601,"12173-60-3",1269,,
602,"12174-11-7",2513,,
603,"12179-04-03",1,,
604,"12179-04-3",749,,
605,"121888-68-4",8174,,
606,"12195-86-7",35,,
607,"122-18-9",366,,
608,"122-20-3",171,,
609,"122-99-6",2,,
610,"12280-03-4",800,,
611,"12291-65-5",4,,
612,"123-01-3",13,,
613,"123-17-1",8,,
614,"123-73-9",21,,
615,"123-91-1",2966,,
616,"123.91-1",1,,
617,"124-04-9",522,,
618,"124-09-4",8,,
619,"124-18-5",29,,
620,"124-28-9",1,,
621,"124-38-8",2,,
622,"124-38-9",284,,
623,"124-65-5",1,,
624,"124-68-5",2308,,
625,"125005-87-0",2024,,
626,"12525-02-9",2,,
627,"1252600-17-1",361,,
628,"126-11-4",215,,
629,"126-73-8",6,,
630,"126-92-1",757,,
631,"126-96-5",2042,,
632,"126-97-6",36,,
633,"126950-60-5",198,,
634,"127-08-2",4608,,
635,"127-09-3",2227,,
636,"127036-24-2",27,,
637,"127036-24-2a",2,,
638,"127036-24-2b",2,,
639,"1270787-87-0",90,,
640,"127087-87-0",18534,,
641,"128-03-0",1,,
642,"128-37-0",24,,
643,"128-92-1",1,,
644,"128824-30-6",167,,
645,"128850-89-5",3,,
646,"128973-77-3",14,,
647,"129-17-9",12,,
648,"129813-58-7",2,,
649,"129828-01-7",1,,
650,"129828-31-5",713,,
651,"129828-315",1,,
652,"129828-36-0",383,,
653,"129898-01-7",722,,
654,"130-73-2",1,,
655,"130-96-4",2,,
656,"1300-72-7",3,,
657,"1301-96-4",15,,
658,"1302-27-8",2333,,
659,"1302-44-5",1,,
660,"1302-44-56",123,,
661,"1302-74-5",1669,,
662,"1302-76-7",2172,,
663,"1302-78-9",3447,,
664,"1302-8",4,,
665,"1302-87-0",97,,
666,"1302-92-8",1,,
667,"1302-93-8",3658,,
668,"1302-98-8",1,,
669,"130278-9",1,,
670,"1303-58-3",1,,
671,"1303-69-4",1,,
672,"1303-86-2",705,,
673,"1303-96-2",1,,
674,"1303-96-4",9744,,
675,"1304-76-7",5,,
676,"1305-25-1",226,,
677,"1305-62-0",358,,
678,"1305-75-5",6,,
679,"1305-78-8",363,,
680,"1305-79-9",595,,
681,"130562-0",1,,
682,"1307-76-7",1,,
683,"1309-37-1",9986,,
684,"1309-38-2",77,,
685,"1309-42-8",989,,
686,"1309-48-4",1380,,
687,"1309-96-4",4,,
688,"131-05-83",30,,
689,"131-58-3",1,,
690,"1310-*58-3",1,,
691,"1310-14-1",2330,,
692,"1310-18-5",1,,
693,"1310-57-3",4,,
694,"1310-58-3",31768,,
695,"1310-583",2,,
696,"1310-583-",1,,
697,"1310-588-3",11,,
698,"1310-62-9",1,,
699,"1310-72-2",2,,
700,"1310-73-2",53803,,
701,"1310-73-5",1,,
702,"1310-732-",6,,
703,"1310-87-9",1,,
704,"13101-58-3",1,,
705,1310583,2,,
706,"131073-2",3,,
707,1310732,1,,
708,"13127-82-7",3,,
709,"1313-33-1",1,,
710,"1313-59-3",10,,
711,"1313-82-2",162,,
712,"1314-13-2",46,,
713,"1317-60-8",85,,
714,"1317-61-9",2,,
715,"1317-65-3",531,,
716,"1317-71-1",215,,
717,"1317-80-2",204,,
718,"1318-16-7",830,,
719,"1318-331-1",3,,
720,"1318-93-0",62,,
721,"1319-22-1",1,,
722,"1319-23-1",1,,
723,"1319-3-1",1,,
724,"1319-33-1",10339,,
725,"1319-331-1",7,,
726,"13197-76-7",57,,
727,"1320-73-2",4,,
728,"132435-00-8",5,,
729,"1327-36-2",352,,
730,"133-73-9",8,,
731,"1330-20-7",3546,,
732,"1330-43-3",1,,
733,"1330-43-4",4710,,
734,"1330-73-2",41,,
735,"1332-58-7",234,,
736,"1332-77-0",1245,,
737,"1333-73-9",634,,
738,"1334-25-5",1,,
739,"1334-25-6",4,,
740,1334256,72,,
741,"1335-26-8",212,,
742,"1336-21-*6",1,,
743,"1336-21-6",4750,,
744,"1338-39-2",16,,
745,"1338-41-6",1040,,
746,"1338-42-8",1,,
747,"1338-43-8",28370,,
748,"1338-52-4",1,,
749,"1339-20-7",1,,
750,"1340-69-8",214,,
751,"1341-49-7",290,,
752,"1342-49",1,,
753,"1343-88-0",215,,
754,"1344-09-8",4,,
755,"1344-28-1",10420,,
756,"13446-12-3",414,,
757,"134509-56-1",3,,
758,"13463-37-7",29,,
759,"13463-67-1",5,,
760,"13463-67-7",9376,,
761,"13477-34-3",1,,
762,"13477-34-4",848,,
763,"13492-26-7",94,,
764,"13517-20-9",1,,
765,"13520-92-8",11,,
766,"1352632-71-3",6,,
767,"13533-05-6",2,,
768,"13547-17-6",8,,
769,"1356964-77-6",8,,
770,"13598-36-2",3186,,
771,"13601-19-9",12,,
772,"136793-29-8",849,,
773,"13709-94-6",1,,
774,"13709-94-9",13004,,
775,13727,1,,
776,"137898-94-3",9,,
777,"138-22-7",186,,
778,"138-86-3",30,,
779,"13840-56-7",1179,,
780,"13879-94-4",1,,
781,"138879-94-4",1204,,
782,"139-07-1",371,,
783,"139-08-2",561,,
784,"139-13-9",18,,
785,"139-33-3",3835,,
786,"139-89-9",24,,
787,"14-55-2",1,,
788,"140-31-8",2,,
789,"140-88-5",3,,
790,"14025-15-1",141,,
791,"14035-94-0",145,,
792,"14038-72-6",2,,
793,"1408-60-7",25,,
794,"140808-60-7",7,,
795,141,1,,1
796,"141-43-5",2189,,
797,"141-49-5",12,,
798,"141-53-7",815,,
799,"141-78-6",190,,
800,"141179-72-8",1,,
801,"142-31-4",107,,
802,"142-82-5",4,,
803,"142-87-0",78,,
804,"1422006-64-1",1,,
805,"143-18-0",2703,,
806,"143-180",1,,
807,"143-22-6",823,,
808,"144-55-8",5517,,
809,"144-56-8",1,,
810,"144-86-9",1,,
811,"14452-57-4",906,,
812,"14464-46-1",5547,,
813,"14464-46-7",1,,
814,"14464-60-7",34,,
815,"14464-64-1",22,,
816,"14464.46-1",4,,
817,"14464046-1",11,,
818,"144645-46-1",1,,
819,"14483-19-3",1,,
820,145,1,,1
821,"14608-60-7",1,,
822,"147-14-8",2,,
823,"147732-60-3",2,,
824,"148-60-7",54,,
825,"1480-60-7",2,,
826,"148008-60-7",10,,
827,"14804-60-7",2,,
828,"14807 - 96-6",6,,
829,"14807-86-6",1,,
830,"14807-96 - 9",1,,
831,"14807-96-6",5743,,
832,"14807-96-8",18,,
833,"14807-96-9",1,,
834,"1480796-6",11,,
835,"14808 - 60 - 7",16,,
836,"14808 - 60- 7",120,,
837,"14808-06",3,,
838,"14808-08",1,,
839,"14808-60-",3,,
840,"14808-60-07",2,,
841,"14808-60-1",1,,
842,"14808-60-10",1,,
843,"14808-60-4",1,,
844,"14808-60-6",8,,
845,"14808-60-7",189767,,
846,"14808-60-7 / 238-878",2,,1
847,"14808-60-70",149,,
848,"14808-60-8",65,,
849,"14808-60-9",17,,
850,"14808-60.7",1,,
851,"14808-630-7",1,,
852,"14808-96-7",1,,
853,14808.06,1,,1
854,"14808.60-7",4,,
855,"1488-60-7",27,,
856,"14960-06-6",277,,
857,"149879-98-1",19,,
858,"15-25",76,,
859,"15-5",1,,
860,"150-13-0",1,,
861,"150-38-9",3834,,
862,"150-76-5",138,,
863,"151-21-3",25,,
864,"15214-89-8",12,,
865,"15220-87-5",2,,
866,"15220-87-8",2464,,
867,"153568-80-0",16,,
868,"154518-36-2",2487,,
869,"15468-32-3",136,,
870,"15475-67-9",601,,
871,"15529-67-6",38,,
872,"15619-48-4",7218,,
873,"15630-89-4",4,,
874,"1569-01-3",23,,
875,"157627-86-6",2,,
876,"15821-83-7",2588,,
877,"15827-60-8",2405,,
878,"1583-58-0",1,,
879,"1589-47-5",11,,
880,"1592-23-0",2,,
881,16,1,,1
882,"1607814-38-9",2,,
883,"16088-62-3",1,,
884,"16389-88-1",404,,
885,"16405-35-9",2,,
886,"16481-66",1,,
887,"16481-66-0",11,,
888,"16481-66-1",1,,
889,"16481-66-6",2212,,
890,"16547-58-3",2,,
891,"1655-35-2",2,,
892,"16872-11-0",2,,
893,"16887-00-6",296,,
894,"172343-37-2",3,,
895,"1732-18-5",3,,
896,"1736-47-6",5,,
897,"17375-41-6",1,,
898,"174206-15-6",117,,
899,"17593-73",1,,
900,"17593-73-6",746,,
901,"1760-24-3",16,,
902,"1762-95-4",448,,
903,"17631-86-9",1,,
904,"177149-89-2",8,,
905,"18016-19-8",16,,
906,"1805-22-7",5,,
907,"1808-60-7",1,,
908,"181828-06-8",1,,
909,"182235-14-9",3,,
910,"18662-53-8",123,,
911,"1892-29-1",126,,
912,"189959-15-7",3,,
913,"19-36-8",11,,
914,"19-65-3",98,,
915,"19-95-3",1,,
916,"19019-43-3",1411,,
917,"1909-43-3",95,,
918,"192562-10-6",6,,
919,"193098-40-7",2,,
920,"1934-21-0",249,,
921,"1941-30-6",107,,
922,"19549-80-5",12,,
923,"197980-53-3",16,,
924,20,1,,1
925,2001,1,,1
